	result.test_acc	feat.last_char	feat.tag_filter	feat.use_padding	feat.sample_per_class	feat.include_smaller_ngrams	feat.N	feat.grep_filter	feat.tag_limit_in_cluster	feat.shuffled	feat.uniq_lines	feat.tag_filter_len	feat.grep_filter_len	model.nb_epoch	model.activations	model.batch_size	model.input_dim	model.output_dim	model.loss	model.layers	model.optimizer
885	0.9968333333333332	7.0	('CONJ', 'NOUN')	True	30000.0	True	1.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	541.0	2.0	binary_crossentropy	(40, 40)	rmsprop
892	0.9966666666666668	7.0	('CONJ', 'NOUN')	True	30000.0	True	2.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	6196.0	2.0	binary_crossentropy	(40, 40)	rmsprop
912	0.9965	6.0	('VERB',)	True	30000.0	True	1.0	('<PAST',)			False	1.0	1.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	269.0	2.0	binary_crossentropy	(40, 40)	rmsprop
815	0.9965	6.0	('VERB',)	True	20000.0	True	1.0	('<PERS<1', '<PERS<2')			False	1.0	2.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	305.0	3.0	categorical_crossentropy	(40, 40)	rmsprop
919	0.9963333333333332	6.0	('VERB',)	True	30000.0	True	2.0	('<PAST',)			False	1.0	1.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	2691.0	2.0	binary_crossentropy	(40, 40)	rmsprop
816	0.9963333333333332	7.0	('VERB',)	True	20000.0	True	1.0	('<PERS<1', '<PERS<2')			False	1.0	2.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	357.0	3.0	categorical_crossentropy	(40, 40)	rmsprop
890	0.9963333333333332	5.0	('CONJ', 'NOUN')	True	30000.0	True	2.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	4340.0	2.0	binary_crossentropy	(40, 40)	rmsprop
920	0.996	7.0	('VERB',)	True	30000.0	True	2.0	('<PAST',)			False	1.0	1.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	3376.0	2.0	binary_crossentropy	(40, 40)	rmsprop
790	0.9959891822515584	7.0		True	30000.0	True	1.0	('<PLUR',)			False		1.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	627.0	2.0	binary_crossentropy	(40, 40)	rmsprop
814	0.9958333333333332	5.0	('VERB',)	True	20000.0	True	1.0	('<PERS<1', '<PERS<2')			False	1.0	2.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	251.0	3.0	categorical_crossentropy	(40, 40)	rmsprop
794	0.9955	6.0	('VERB',)	True	20000.0	True	2.0	('<PERS<1', '<PERS<2')			False	1.0	2.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	2935.0	3.0	categorical_crossentropy	(40, 40)	rmsprop
914	0.9953333333333332	8.0	('VERB',)	True	30000.0	True	1.0	('<PAST',)			False	1.0	1.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	363.0	2.0	binary_crossentropy	(40, 40)	rmsprop
921	0.99525	8.0	('VERB',)	True	30000.0	True	2.0	('<PAST',)			False	1.0	1.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	3952.0	2.0	binary_crossentropy	(40, 40)	rmsprop
789	0.9950838833883388	6.0		True	30000.0	True	1.0	('<PLUR',)			False		1.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	545.0	2.0	binary_crossentropy	(40, 40)	rmsprop
883	0.9949166666666668	5.0	('CONJ', 'NOUN')	True	30000.0	True	1.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	406.0	2.0	binary_crossentropy	(40, 40)	rmsprop
911	0.9948333333333332	5.0	('VERB',)	True	30000.0	True	1.0	('<PAST',)			False	1.0	1.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	228.0	2.0	binary_crossentropy	(40, 40)	rmsprop
813	0.9945	7.0		True	30000.0	True	1.0	('<ACC',)			False		1.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	517.0	2.0	binary_crossentropy	(40, 40)	rmsprop
793	0.9945	6.0		True	30000.0	True	2.0	('<ACC',)			False		1.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5049.0	2.0	binary_crossentropy	(40, 40)	rmsprop
788	0.9942702603593692	5.0		True	30000.0	True	1.0	('<PLUR',)			False		1.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	457.0	2.0	binary_crossentropy	(40, 40)	rmsprop
811	0.9941666666666666	5.0		True	30000.0	True	1.0	('<ACC',)			False		1.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	384.0	2.0	binary_crossentropy	(40, 40)	rmsprop
840	0.9940833333333332	4.0		True	30000.0	True	2.0	('<ACC',)			False		1.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	3073.0	2.0	binary_crossentropy	(40, 40)	rmsprop
812	0.9936666666666668	6.0		True	30000.0	True	1.0	('<ACC',)			False		1.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	451.0	2.0	binary_crossentropy	(40, 40)	rmsprop
917	0.9935	4.0	('VERB',)	True	30000.0	True	2.0	('<PAST',)			False	1.0	1.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	1393.0	2.0	binary_crossentropy	(40, 40)	rmsprop
792	0.9933333333333332	6.0		True	30000.0	True	2.0	('<PLUR',)			False		1.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	4964.0	2.0	binary_crossentropy	(40, 40)	rmsprop
837	0.9924166666666666	4.0		True	30000.0	True	1.0	('<ACC',)			False		1.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	317.0	2.0	binary_crossentropy	(40, 40)	rmsprop
846	0.9923333333333332	4.0	('VERB',)	True	20000.0	True	1.0	('<PERS<1', '<PERS<2')			False	1.0	2.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	195.0	3.0	categorical_crossentropy	(40, 40)	rmsprop
809	0.9921666666666666	6.0		True	30000.0	True	1.0	('<PLUR',)			False		1.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	464.0	2.0	binary_crossentropy	(40, 40)	rmsprop
889	0.9921666666666666	4.0	('CONJ', 'NOUN')	True	30000.0	True	2.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	3302.0	2.0	binary_crossentropy	(40, 40)	rmsprop
820	0.9921666666666666	5.0	('NOUN',)	True	30000.0	True	1.0	('<PLUR',)			False	1.0	1.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	414.0	2.0	binary_crossentropy	(40, 40)	rmsprop
882	0.992	4.0	('CONJ', 'NOUN')	True	30000.0	True	1.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	330.0	2.0	binary_crossentropy	(40, 40)	rmsprop
849	0.9918333333333332	4.0	('VERB',)	True	20000.0	True	2.0	('<PERS<1', '<PERS<2')			False	1.0	2.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	1507.0	3.0	categorical_crossentropy	(40, 40)	rmsprop
821	0.9916666666666668	6.0	('NOUN',)	True	30000.0	True	1.0	('<PLUR',)			False	1.0	1.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	489.0	2.0	binary_crossentropy	(40, 40)	rmsprop
822	0.9916666666666668	7.0	('NOUN',)	True	30000.0	True	1.0	('<PLUR',)			False	1.0	1.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	561.0	2.0	binary_crossentropy	(40, 40)	rmsprop
808	0.991	5.0		True	30000.0	True	1.0	('<PLUR',)			False		1.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	392.0	2.0	binary_crossentropy	(40, 40)	rmsprop
796	0.9908333333333332	6.0	('NOUN',)	True	30000.0	True	2.0	('<PLUR',)			False	1.0	1.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5662.0	2.0	binary_crossentropy	(40, 40)	rmsprop
910	0.9908333333333332	4.0	('VERB',)	True	30000.0	True	1.0	('<PAST',)			False	1.0	1.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	182.0	2.0	binary_crossentropy	(40, 40)	rmsprop
843	0.9905	4.0		True	30000.0	True	3.0	('<ACC',)			False		1.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	11146.0	2.0	binary_crossentropy	(40, 40)	rmsprop
778	0.9902405019170444	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		2000.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5828.0	2.0	binary_crossentropy	(40, 40)	rmsprop
852	0.99	4.0	('VERB',)	True	20000.0	True	3.0	('<PERS<1', '<PERS<2')			False	1.0	2.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5022.0	3.0	categorical_crossentropy	(40, 40)	rmsprop
842	0.9896666666666668	3.0		True	30000.0	True	3.0	('<ACC',)			False		1.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	6221.0	2.0	binary_crossentropy	(40, 40)	rmsprop
810	0.9894166666666668	7.0		True	30000.0	True	1.0	('<PLUR',)			False		1.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	522.0	2.0	binary_crossentropy	(40, 40)	rmsprop
772	0.9891948414081562	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		1000.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5828.0	2.0	binary_crossentropy	(40, 40)	rmsprop
831	0.9888333333333332	4.0		True	30000.0	True	2.0	('<PLUR',)			False		1.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	3057.0	2.0	binary_crossentropy	(40, 40)	rmsprop
834	0.9878333333333332	4.0		True	30000.0	True	3.0	('<PLUR',)			False		1.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	10995.0	2.0	binary_crossentropy	(40, 40)	rmsprop
777	0.9872777971418611	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		1000.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5828.0	2.0	binary_crossentropy	(40, 40)	rmsprop
870	0.987	4.0	('NOUN',)	True	30000.0	True	3.0	('<PLUR',)			False	1.0	1.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	12544.0	2.0	binary_crossentropy	(40, 40)	rmsprop
845	0.9868333333333332	3.0	('VERB',)	True	20000.0	True	1.0	('<PERS<1', '<PERS<2')			False	1.0	2.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	137.0	3.0	categorical_crossentropy	(40, 40)	rmsprop
839	0.9866666666666668	3.0		True	30000.0	True	2.0	('<ACC',)			False		1.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	1990.0	2.0	binary_crossentropy	(40, 40)	rmsprop
867	0.9863333333333332	4.0	('NOUN',)	True	30000.0	True	2.0	('<PLUR',)			False	1.0	1.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	3490.0	2.0	binary_crossentropy	(40, 40)	rmsprop
836	0.9856666666666668	3.0		True	30000.0	True	1.0	('<ACC',)			False		1.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	235.0	2.0	binary_crossentropy	(40, 40)	rmsprop
781	0.9853607528755663	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		5000.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5828.0	2.0	binary_crossentropy	(40, 40)	rmsprop
453	0.9853333333333332	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5510.0	2.0	binary_crossentropy	(40, 40)	rmsprop
851	0.9853333333333332	3.0	('VERB',)	True	20000.0	True	3.0	('<PERS<1', '<PERS<2')			False	1.0	2.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	2456.0	3.0	categorical_crossentropy	(40, 40)	rmsprop
779	0.9851864761240848	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		3000.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5828.0	2.0	binary_crossentropy	(40, 40)	rmsprop
540	0.9851666666666666	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5510.0	2.0	binary_crossentropy	(50, 70)	rmsprop
606	0.9850833333333332	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5510.0	2.0	binary_crossentropy	(130,)	rmsprop
483	0.985	6.0	('NOUN', 'VERB')	True	30000.0	True	3.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	24318.0	2.0	binary_crossentropy	(40, 40)	rmsprop
673	0.9848333333333332	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		300.0	('linear', 'relu', 'sigmoid')	500.0	5510.0	2.0	binary_crossentropy	(40, 40)	rmsprop
780	0.9846636458696412	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		4000.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5828.0	2.0	binary_crossentropy	(40, 40)	rmsprop
645	0.9844166666666668	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		300.0	('relu', 'tanh', 'sigmoid')	500.0	5510.0	2.0	binary_crossentropy	(40, 40)	rmsprop
489	0.9841666666666666	8.0	('NOUN', 'VERB')	True	30000.0	True	3.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	34117.0	2.0	binary_crossentropy	(40, 40)	rmsprop
828	0.9841666666666666	4.0		True	30000.0	True	1.0	('<PLUR',)			False		1.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	322.0	2.0	binary_crossentropy	(40, 40)	rmsprop
562	0.9840833333333332	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5510.0	2.0	binary_crossentropy	(70, 90)	rmsprop
468	0.9840833333333332	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		500.0	('sigmoid', 'sigmoid', 'sigmoid')	200.0	5510.0	2.0	binary_crossentropy	(40, 40)	rmsprop
529	0.9840000000000001	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5510.0	2.0	binary_crossentropy	(40, 60)	rmsprop
739	0.9840000000000001	7.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	6426.0	2.0	binary_crossentropy	(40, 40)	nadam
627	0.9840000000000001	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5510.0	2.0	binary_crossentropy	(30, 10, 20)	rmsprop
482	0.9838333333333332	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5510.0	2.0	binary_crossentropy	(40, 40)	rmsprop
559	0.9836666666666668	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5510.0	2.0	binary_crossentropy	(70, 60)	rmsprop
547	0.9835833333333334	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5510.0	2.0	binary_crossentropy	(60, 40)	rmsprop
463	0.9835	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		400.0	('sigmoid', 'sigmoid', 'sigmoid')	2000.0	5510.0	2.0	binary_crossentropy	(40, 40)	rmsprop
864	0.9835	4.0	('NOUN',)	True	30000.0	True	1.0	('<PLUR',)			False	1.0	1.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	335.0	2.0	binary_crossentropy	(40, 40)	rmsprop
563	0.9835	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5510.0	2.0	binary_crossentropy	(70, 100)	rmsprop
848	0.9833333333333332	3.0	('VERB',)	True	20000.0	True	2.0	('<PERS<1', '<PERS<2')			False	1.0	2.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	861.0	3.0	categorical_crossentropy	(40, 40)	rmsprop
564	0.9831666666666666	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5510.0	2.0	binary_crossentropy	(80, 10)	rmsprop
614	0.983	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5510.0	2.0	binary_crossentropy	(10, 10, 10)	rmsprop
604	0.9829166666666668	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5510.0	2.0	binary_crossentropy	(110,)	rmsprop
579	0.9829166666666668	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5510.0	2.0	binary_crossentropy	(90, 60)	rmsprop
612	0.9828333333333332	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5510.0	2.0	binary_crossentropy	(190,)	rmsprop
513	0.9826666666666668	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5510.0	2.0	binary_crossentropy	(20, 100)	rmsprop
568	0.9826666666666668	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5510.0	2.0	binary_crossentropy	(80, 50)	rmsprop
532	0.9826666666666668	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5510.0	2.0	binary_crossentropy	(40, 90)	rmsprop
653	0.9825	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		300.0	('relu', 'sigmoid', 'sigmoid')	500.0	5510.0	2.0	binary_crossentropy	(40, 40)	rmsprop
558	0.9825	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5510.0	2.0	binary_crossentropy	(70, 50)	rmsprop
534	0.9825	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5510.0	2.0	binary_crossentropy	(50, 10)	rmsprop
636	0.9825	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5510.0	2.0	binary_crossentropy	(40, 30, 10)	rmsprop
494	0.9825	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5510.0	2.0	binary_crossentropy	(10, 10)	rmsprop
515	0.9825	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5510.0	2.0	binary_crossentropy	(30, 20)	rmsprop
596	0.9825	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5510.0	2.0	binary_crossentropy	(30,)	rmsprop
610	0.9823333333333332	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5510.0	2.0	binary_crossentropy	(170,)	rmsprop
508	0.9823333333333332	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5510.0	2.0	binary_crossentropy	(20, 50)	rmsprop
609	0.9823333333333332	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5510.0	2.0	binary_crossentropy	(160,)	rmsprop
581	0.9823333333333332	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5510.0	2.0	binary_crossentropy	(90, 80)	rmsprop
522	0.9823333333333332	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5510.0	2.0	binary_crossentropy	(30, 90)	rmsprop
548	0.9823333333333332	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5510.0	2.0	binary_crossentropy	(60, 50)	rmsprop
592	0.9823333333333332	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5510.0	2.0	binary_crossentropy	(100, 90)	rmsprop
545	0.9823333333333332	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5510.0	2.0	binary_crossentropy	(60, 20)	rmsprop
538	0.9821666666666666	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5510.0	2.0	binary_crossentropy	(50, 50)	rmsprop
560	0.9821666666666666	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5510.0	2.0	binary_crossentropy	(70, 70)	rmsprop
516	0.9821666666666666	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5510.0	2.0	binary_crossentropy	(30, 30)	rmsprop
451	0.9821666666666666	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	100.0	5510.0	2.0	binary_crossentropy	(40, 40)	rmsprop
493	0.9821666666666666	9.0	('NOUN', 'VERB')	True	30000.0	True	3.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	38028.0	2.0	binary_crossentropy	(10, 10)	rmsprop
632	0.9821666666666666	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5510.0	2.0	binary_crossentropy	(40, 10, 10)	rmsprop
492	0.9821666666666666	9.0	('NOUN', 'VERB')	True	30000.0	True	3.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	38028.0	2.0	binary_crossentropy	(40, 40)	rmsprop
622	0.9821666666666666	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5510.0	2.0	binary_crossentropy	(20, 20, 10)	rmsprop
543	0.9820833333333332	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5510.0	2.0	binary_crossentropy	(50, 100)	rmsprop
546	0.9820833333333332	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5510.0	2.0	binary_crossentropy	(60, 30)	rmsprop
504	0.9820833333333332	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5510.0	2.0	binary_crossentropy	(20, 10)	rmsprop
485	0.982	7.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	6426.0	2.0	binary_crossentropy	(40, 40)	rmsprop
470	0.982	6.0	('NOUN', 'VERB')	True	30000.0	True	2.0				False	2.0		500.0	('sigmoid', 'sigmoid', 'sigmoid')	1000.0	5510.0	2.0	binary_crossentropy	(40, 40)	rmsprop
